Timestamp_UTC,Symbol,Side,Regime,Raw_Proba,Calib_Proba,Threshold,Expected_PF,EV_Adj,Uncertainty,Status,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-06T20:00:20.042775,DOGEUSDT,LONG,0,0.3629,0.3629,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.363 < 0.7),,,
2026-05-06T20:00:20.042775,DOGEUSDT,SHORT,0,0.51,0.51,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:20.536387,AVAXUSDT,LONG,0,0.1488,0.1488,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.149 < 0.7),,,
2026-05-06T20:00:20.536387,AVAXUSDT,SHORT,0,0.4814,0.4814,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:21.054506,LINKUSDT,LONG,0,0.2102,0.2102,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.210 < 0.7),,,
2026-05-06T20:00:21.054506,LINKUSDT,SHORT,0,0.4057,0.4057,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:21.567106,NEARUSDT,LONG,0,0.0288,0.0288,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.029 < 0.7),,,
2026-05-06T20:00:21.567106,NEARUSDT,SHORT,0,0.4284,0.4284,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:22.086238,ADAUSDT,LONG,0,0.1036,0.1036,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.104 < 0.7),,,
2026-05-06T20:00:22.086238,ADAUSDT,SHORT,0,0.5333,0.5333,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:22.582385,BTCUSDT,LONG,0,0.2796,0.2796,0.7,1.131,0.0,0.0,REJECTED_T1,Proba < Thresh (0.280 < 0.7),,,
2026-05-06T20:00:22.583384,BTCUSDT,SHORT,0,0.6708,0.6708,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
2026-05-06T20:00:23.605049,ETHUSDT,LONG,0,0.7783,0.7783,0.7,1.131,0.0,0.0,PASSED_T1,,,,
2026-05-06T20:00:23.605049,ETHUSDT,SHORT,0,0.3721,0.3721,0.99,0.0,0.0,0.0,REJECTED_T1,Low PF (0.0),,,
