Timestamp_UTC,Symbol,Side,Regime,Model_Ver,Feat_Hash,Raw_Proba,Calib_Proba,Threshold,P_L_0,P_L_1,P_L_2,P_S_0,P_S_1,P_S_2,EV_Adj,Uncertainty,Status,Reject_Stage,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-07T07:03:20.117611,AVAXUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.7028,0.7028,0.99,0.1572,0.1572,0.1572,0.7028,0.7028,0.7028,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:20.806522,LINKUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1246,0.1246,0.7,0.1246,0.1246,0.1246,0.6459,0.6459,0.6459,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.125 < 0.7),,,
2026-05-07T07:03:20.807521,LINKUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6459,0.6459,0.99,0.1246,0.1246,0.1246,0.6459,0.6459,0.6459,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:21.492927,NEARUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.0288,0.0288,0.7,0.0288,0.0288,0.0288,0.427,0.427,0.427,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.029 < 0.7),,,
2026-05-07T07:03:21.492927,NEARUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.427,0.427,0.99,0.0288,0.0288,0.0288,0.427,0.427,0.427,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:22.199074,ADAUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1995,0.1995,0.7,0.1995,0.1995,0.1995,0.5564,0.5564,0.5564,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.200 < 0.7),,,
2026-05-07T07:03:22.199074,ADAUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5564,0.5564,0.99,0.1995,0.1995,0.1995,0.5564,0.5564,0.5564,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:22.933311,BTCUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4482,0.4482,0.7,0.4482,0.4482,0.4482,0.6558,0.6558,0.6558,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.448 < 0.7),,,
2026-05-07T07:03:22.934313,BTCUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6558,0.6558,0.99,0.4482,0.4482,0.4482,0.6558,0.6558,0.6558,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:23.647959,ETHUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6136,0.6136,0.7,0.6136,0.6136,0.6136,0.3744,0.3744,0.3744,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.614 < 0.7),,,
2026-05-07T07:03:23.647959,ETHUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.3744,0.3744,0.99,0.6136,0.6136,0.6136,0.3744,0.3744,0.3744,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:24.341808,SOLUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1101,0.1101,0.7,0.1101,0.1101,0.1101,0.5937,0.5937,0.5937,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.110 < 0.7),,,
2026-05-07T07:03:24.343276,SOLUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5937,0.5937,0.99,0.1101,0.1101,0.1101,0.5937,0.5937,0.5937,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:25.212053,BNBUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.115,0.115,0.7,0.115,0.115,0.115,0.6133,0.6133,0.6133,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.115 < 0.7),,,
2026-05-07T07:03:25.212053,BNBUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6133,0.6133,0.99,0.115,0.115,0.115,0.6133,0.6133,0.6133,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:25.932217,XRPUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6159,0.6159,0.7,0.6159,0.6159,0.6159,0.4646,0.4646,0.4646,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.616 < 0.7),,,
2026-05-07T07:03:25.933220,XRPUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4646,0.4646,0.99,0.6159,0.6159,0.6159,0.4646,0.4646,0.4646,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:26.330959,DOGEUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6049,0.6049,0.7,0.6049,0.6049,0.6049,0.7488,0.7488,0.7488,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.605 < 0.7),,,
2026-05-07T07:03:26.331960,DOGEUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.7488,0.7488,0.99,0.6049,0.6049,0.6049,0.7488,0.7488,0.7488,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:27.039143,AVAXUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1572,0.1572,0.7,0.1572,0.1572,0.1572,0.7028,0.7028,0.7028,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.157 < 0.7),,,
2026-05-07T07:03:27.039143,AVAXUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.7028,0.7028,0.99,0.1572,0.1572,0.1572,0.7028,0.7028,0.7028,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:27.750399,LINKUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1246,0.1246,0.7,0.1246,0.1246,0.1246,0.6459,0.6459,0.6459,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.125 < 0.7),,,
2026-05-07T07:03:27.750399,LINKUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6459,0.6459,0.99,0.1246,0.1246,0.1246,0.6459,0.6459,0.6459,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:28.439640,NEARUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.0288,0.0288,0.7,0.0288,0.0288,0.0288,0.427,0.427,0.427,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.029 < 0.7),,,
